variables,type,units,values,description
financese.machine_rating,input,kW,20000.0,
financese.tcc_per_kW,input,USD/kW,445.9880966748485,
financese.offset_tcc_per_kW,input,USD/kW,0.0,
financese.bos_per_kW,input,USD/kW,4053.0,
financese.opex_per_kW,input,USD/kW/year,137.0,
financese.plant_aep_in,input,kW*h,0.0,
financese.turbine_aep,input,kW*h,98737789.95838992,
financese.wake_loss_factor,input,,0.15,
financese.fixed_charge_rate,input,,0.056,
financese.electricity_price,input,USD/kW/h,0.04,
financese.reserve_margin_price,input,USD/kW/year,120.0,
financese.capacity_credit,input,,0.0,
financese.benchmark_price,input,USD/kW/h,0.071,
financese.turbine_number,input,n/a,40.0,
outputs_2_screen.aep,input,GW*h,98.73778995838993,
outputs_2_screen.blade_mass,input,kg,79693.9079253861,
outputs_2_screen.lcoe,input,USD/MW/h,92.68597007171276,
outputs_2_screen.My_std,input,N*m,0.0,
outputs_2_screen.flp1_std,input,deg,0.0,
outputs_2_screen.PC_omega,input,rad/s,0.0,
outputs_2_screen.PC_zeta,input,,0.0,
outputs_2_screen.VS_omega,input,rad/s,0.0,
outputs_2_screen.VS_zeta,input,,0.0,
outputs_2_screen.Flp_omega,input,rad/s,0.0,
outputs_2_screen.Flp_zeta,input,,0.0,
outputs_2_screen.tip_deflection,input,m,29.297358673345038,
tcc.main_bearing_mass,input,kg,0.0,
tcc.bearing_mass_cost_coeff,input,USD/kg,4.5,
tcc.bedplate_mass,input,kg,0.0,
tcc.bedplate_mass_cost_coeff,input,USD/kg,2.9,
tcc.blade_mass,input,kg,79693.9079253861,
tcc.blade_mass_cost_coeff,input,USD/kg,14.6,
tcc.blade_cost_external,input,USD,1184901.4055220145,
tcc.brake_mass,input,kg,0.0,
tcc.brake_mass_cost_coeff,input,USD/kg,3.6254,
tcc.machine_rating,input,kW,20000.0,
tcc.controls_machine_rating_cost_coeff,input,USD/kW,21.15,
tcc.converter_mass,input,kg,0.0,
tcc.converter_mass_cost_coeff,input,USD/kg,18.8,
tcc.cover_mass,input,kg,0.0,
tcc.cover_mass_cost_coeff,input,USD/kg,5.7,
tcc.elec_connec_machine_rating_cost_coeff,input,USD/kW,41.85,
tcc.gearbox_mass,input,kg,0.0,
tcc.gearbox_torque_density,input,N*m/kg,200.0,"In 2024, modern 5-7MW gearboxes are able to reach 200 Nm/kg"
